"",BALCO,Greg_Anderson,Palm_Beach_Rejuvenation_Centre,New_Hope_Health_Centre,Signature_Pharmacy,American_Pharmaceutical_Group,Health_Rejuvenation_Centre,Applied_Pharmacy_Services,Arizona_AntiAging_Clinic,Health_Watch_Clinic,BrianMcNamee,Kirk_Radomski
Victor_Conte,1,0,0,0,0,0,0,0,0,0,0,0
Jeremy_Giambi,1,0,0,0,0,0,0,0,0,0,0,0
Jason_Giambi,1,1,0,0,0,0,0,0,0,0,0,0
Gary_Sheffield,1,1,0,0,0,0,0,0,0,0,0,0
Bobby_Estalella,0,1,0,0,0,0,0,0,0,0,0,0
Benito_Santiago,0,1,0,0,0,0,0,0,0,0,0,0
Marvin_Bernard,0,1,0,0,0,0,0,0,0,0,0,0
Barry_Bonds,1,1,0,0,0,0,0,0,0,0,0,0
Armando_Rios,1,1,0,0,0,0,0,0,0,0,0,0
Randy_Velarde,0,1,0,0,0,0,0,0,0,0,0,0
Matt_Williams,0,0,1,0,0,0,0,0,0,0,0,0
Daren_Holmes,0,0,1,0,0,0,0,0,0,0,0,0
Paul_Byrd,0,0,1,0,0,0,0,0,0,0,0,0
Jose_Guillen,0,0,1,0,0,0,0,0,0,0,0,0
Ismael_Vaklez,0,0,1,0,0,0,0,0,0,0,0,0
Jason_Grimsley,0,0,1,0,1,0,0,0,0,0,0,0
Troy_Glaus,0,0,0,1,0,0,0,0,0,0,0,0
Scott_Schoeneweis,0,0,0,1,0,0,0,0,0,0,0,0
Steve_Woodward,0,0,0,0,1,0,0,0,0,0,0,0
Gary_MatthewsJr,0,0,0,0,1,0,0,1,0,0,0,0
David_Bell,0,0,0,0,1,0,0,1,1,0,0,0
Jose_Canseco,0,0,0,0,1,0,1,1,0,1,0,0
John_Rocker,0,0,0,0,0,0,0,1,0,0,0,0
Jay_Gibbons,0,0,0,0,0,1,0,0,0,0,0,0
Rick_Ankiel,0,0,0,0,0,0,1,0,0,0,0,0
Chuck_Knoblauch,0,0,0,0,0,0,0,0,0,0,1,0
Roger_Clemense,0,0,0,0,0,0,0,0,0,0,1,0
Andy_Pettittle,0,0,0,0,0,0,0,0,0,0,1,0
Brian_Roberts,0,0,0,0,0,0,0,0,0,0,0,1
Todd_Pratt,0,0,0,0,0,0,0,0,0,0,0,1
Tod_Hundley,0,0,0,0,0,0,0,0,0,0,0,1
Kent_Mercker,0,0,0,0,0,0,0,0,0,0,0,1
Jerry_HarrisonJr,0,0,0,0,0,1,0,0,0,0,0,1
Jason_Christiansen,0,0,0,0,0,0,0,0,0,0,0,1
Matt_Herges,0,0,0,0,0,0,0,0,0,0,0,1
David_Segul,0,0,0,0,0,0,0,0,0,0,0,1
Matt_Franco,0,0,0,0,0,0,0,0,0,0,0,1
Adam_Riggs,0,0,0,0,0,0,0,0,0,0,0,1
Exavier_Logan,0,0,0,0,0,0,0,0,0,0,0,1
Fernando_Vina,0,0,0,0,0,0,0,0,0,0,0,1
Chad_Allen,0,0,0,0,0,0,0,0,0,0,0,1
Larry_Bigble,0,0,0,0,0,0,0,0,0,0,0,1
Eric_Gagne,0,0,0,0,0,0,0,0,0,0,0,1
Paulio_Duca,0,0,0,0,0,0,0,0,0,0,0,1
Brendan_Donnelly,0,0,0,0,0,0,0,0,0,0,0,1
Chris_Donnels,0,0,0,0,0,0,0,0,0,0,0,1
Cody_McKay,0,0,0,0,0,0,0,0,0,0,0,1
Mark_Carreon,0,0,0,0,0,0,0,0,0,0,0,1
Lenny_Dykstra,0,0,0,0,0,0,0,0,0,0,0,1
Rondell_White,0,0,0,0,0,0,0,0,0,0,0,1
FP_Santagelo,0,0,0,0,0,0,0,0,0,0,0,1
Mike_Stanton,0,0,0,0,0,0,0,0,0,0,0,1
Todd_Williams,0,0,0,0,0,0,0,0,0,0,0,1
Josias_Manzanillo,0,0,0,0,0,0,0,0,0,0,0,1
Jose_Cervantes,0,0,0,0,0,0,0,0,0,0,0,1
David_Justice,0,0,0,0,0,0,0,0,0,0,0,1
Adam_Platt,0,0,0,0,0,0,0,0,0,0,0,1
Miguel_Tejada,0,0,0,0,0,0,0,0,0,0,0,1
Kevin_Brown,0,0,0,0,0,0,0,0,0,0,0,1
Luis_Perez,0,0,0,0,0,0,0,0,0,0,0,1
Gregg_Zaun,0,0,0,0,0,0,0,0,0,0,0,1
Jeff_Williams,0,0,0,0,0,0,0,0,0,0,0,1
Kevin_Young,0,0,0,0,0,0,0,0,0,0,0,1
Tim_Laker,0,0,0,0,0,0,0,0,0,0,0,1
Hal_Morris,0,0,0,0,0,0,0,0,0,0,0,1
Mike_Lansing,0,0,0,0,0,0,0,0,0,0,0,1
Glenallen_Hill,0,0,0,0,0,0,0,0,0,0,0,1
Mike_Bell,0,0,0,0,0,0,0,0,0,0,0,1
Bart_Miadich,0,0,0,0,0,0,0,0,0,0,0,1
Jim_Parque,0,0,0,0,0,0,0,0,0,0,0,1
Phil_Hiatt,0,0,0,0,0,0,0,0,0,0,0,1
Denny_Neagle,0,0,0,0,0,0,0,0,0,0,0,1
