# Name; City; ICAO code; Latitude; Longitude
Belfast International Airport;Belfast;EGAA;54.6575012207;-6.2158298492399995
St Angelo Airport;Enniskillen;EGAB;54.39889907836914;-7.651669979095459
George Best Belfast City Airport;Belfast;EGAC;54.618099212646484;-5.872499942779541
City of Derry Airport;Londonderry;EGAE;55.04280090332031;-7.161109924316406
Birmingham International Airport;Birmingham;EGBB;52.453899383499994;-1.74802994728
Coventry Airport;Coventry;EGBE;52.3697013855;-1.4797199964499999
Leicester Airport;Leicester;EGBG;52.6077995300293;-1.03193998336792
Gloucestershire Airport;Golouchestershire;EGBJ;51.89419937133789;-2.167220115661621
Wolverhampton Halfpenny Green Airport;Halfpenny Green;EGBO;52.51750183105469;-2.2594399452209473
Cotswold Airport;Pailton;EGBP;51.668095;-2.05694
Turweston Airport;Turweston;EGBT;52.0407981873;-1.09555995464
Wellesbourne Mountford Airport;Wellesbourne;EGBW;52.19219970703125;-1.6144399642944336
Manchester Airport;Manchester;EGCC;53.35369873046875;-2.2749500274658203
Manchester Woodford Airport;Woodfort;EGCD;53.3381;-2.14889
Royal Marines Base Chivenor Airport;Chivenor;EGDC;51.08720016479492;-4.1503400802612305
Newquay Cornwall Airport;Newquai;EGHQ;50.44060134887695;-4.995409965515137
RAF Lyneham;Lyneham;EGDL;51.5051;-1.99343
MoD Boscombe Down Airport;Boscombe Down;EGDM;51.152198791503906;-1.7474100589752197
RNAS Culdrose;Culdrose;EGDR;50.08610153198242;-5.255710124969482
MOD St. Athan;St. Athan;EGDX;51.40480041503906;-3.4357500076293945
RNAS Yeovilton;Yeovilton;EGDY;51.0093994140625;-2.638819932937622
Haverfordwest Airport;Haverfordwest;EGFE;51.833099365234375;-4.9611101150512695
Cardiff International Airport;Cardiff;EGFF;51.39670181274414;-3.343329906463623
Swansea Airport;Swansea;EGFH;51.60530090332031;-4.0678300857543945
Bristol Airport;Bristol;EGGD;51.382702;-2.71909
Liverpool John Lennon Airport;Liverpool;EGGP;53.33359909057617;-2.849720001220703
London Luton Airport;London;EGGW;51.874698638916016;-0.36833301186561584
Plymouth City Airport;Plymouth;EGHD;50.422798;-4.10583
Bournemouth Airport;Bournemouth;EGHH;50.779998779296875;-1.8424999713897705
Southampton Airport;Southampton;EGHI;50.95029830932617;-1.3567999601364136
Lasham Airport;Lasham;EGHL;51.187198638916016;-1.0334999561309814
Alderney Airport;Alderney;EGJA;49.70610046386719;-2.2147200107574463
Guernsey Airport;Guernsey;EGJB;49.435001373291016;-2.6019699573516846
Jersey Airport;Jersey;EGJJ;49.20790100097656;-2.195509910583496
Shoreham Airport;Shoreham By Sea;EGKA;50.835601806640625;-0.29722198843955994
London Biggin Hill Airport;Biggin Hill;EGKB;51.33079910279999;0.0324999988079
London Gatwick Airport;London;EGKK;51.148101806640625;-0.19027799367904663
London City Airport;London;EGLC;51.505299;0.055278
Farnborough Airport;Farnborough;EGLF;51.2757987976;-0.776332974434
Chalgrove Airport;Chalsgrove;EGLJ;51.67610168457031;-1.0808299779891968
Blackbushe Airport;Blackbushe;EGLK;51.32389831542969;-0.8475000262260437
London Heathrow Airport;London;EGLL;51.4706;-0.461941
Southend Airport;Southend;EGMC;51.5713996887207;0.6955559849739075
Lydd Airport;Lydd;EGMD;50.95610046386719;0.9391670227050781
Kent International Airport;Manston;EGMH;51.342201;1.34611
Brough Airport;Brough;EGNB;53.7197;-0.566333
Carlisle Airport;Carlisle;EGNC;54.9375;-2.8091700077056885
Retford Gamston Airport;Repton;EGNE;53.280601501464844;-0.9513890147209167
Blackpool International Airport;Blackpool;EGNH;53.77170181274414;-3.0286099910736084
Humberside Airport;Humberside;EGNJ;53.57440185546875;-0.350832998752594
Barrow Walney Island Airport;Barrow Island;EGNL;54.1286111;-3.2675
Leeds Bradford Airport;Leeds;EGNM;53.86589813232422;-1.6605700254440308
Warton Airport;Warton;EGNO;53.74509811401367;-2.8830599784851074
Hawarden Airport;Hawarden;EGNR;53.1781005859375;-2.9777801036834717
Isle of Man Airport;Isle Of Man;EGNS;54.08330154418945;-4.623889923095703
Newcastle Airport;Newcastle;EGNT;55.037498474121094;-1.6916699409484863
Durham Tees Valley Airport;Teesside;EGNV;54.50920104980469;-1.4294099807739258
East Midlands Airport;East Midlands;EGNX;52.8311004639;-1.32806003094
Llanbedr Airport;Llanbedr;EGOD;52.811698913574;-4.1235799789429
RAF Ternhill;Ternhill;EGOE;52.87120056152344;-2.533560037612915
RAF Shawbury;Shawbury;EGOS;52.79819869995117;-2.6680400371551514
RAF Woodvale;Woodvale;EGOW;53.581600189199996;-3.05552005768
Kirkwall Airport;Kirkwall;EGPA;58.957801818847656;-2.9049999713897705
Sumburgh Airport;Sumburgh;EGPB;59.87889862060547;-1.2955600023269653
Wick Airport;Wick;EGPC;58.458900451660156;-3.09306001663208
Aberdeen Dyce Airport;Aberdeen;EGPD;57.201900482177734;-2.197779893875122
Inverness Airport;Inverness;EGPE;57.54249954223633;-4.047500133514404
Glasgow International Airport;Glasgow;EGPF;55.8718986511;-4.43306016922
Edinburgh Airport;Edinburgh;EGPH;55.95000076293945;-3.372499942779541
Islay Airport;Islay;EGPI;55.68190002441406;-6.256669998168945
Glasgow Prestwick Airport;Prestwick;EGPK;55.5093994140625;-4.586669921875
Benbecula Airport;Benbecula;EGPL;57.48109817504883;-7.3627800941467285
Scatsta Airport;Scatsta;EGPM;60.43280029296875;-1.2961100339889526
Dundee Airport;Dundee;EGPN;56.45249938964844;-3.025830030441284
Stornoway Airport;Stornoway;EGPO;58.215599060058594;-6.331110000610352
Tiree Airport;Tiree;EGPU;56.49919891357422;-6.869170188903809
RAF Leuchars;Leuchars;EGQL;56.37289810180664;-2.8684399127960205
RAF Lossiemouth;Lossiemouth;EGQS;57.7052001953125;-3.339169979095459
Cambridge Airport;Cambridge;EGSC;52.2050018311;0.17499999702
Peterborough Business Airport;Peterborough;EGSF;52.468101501464844;-0.2511110007762909
Norwich International Airport;Norwich;EGSH;52.6758003235;1.28278005123
London Stansted Airport;London;EGSS;51.8849983215;0.234999999404
North Weald Airport;North Weald;EGSX;51.721698761;0.154166996479
Sheffield City Heliport;Fowlmere;EGSY;53.394299;-1.38849
Cranfield Airport;Cranfield;EGTC;52.0722007751;-0.616666972637
Exeter International Airport;Exeter;EGTE;50.73440170288086;-3.4138898849487305
Bristol Filton Airport;Bristol;EGTG;51.5194015503;-2.59083008766
Oxford (Kidlington) Airport;Oxford;EGTK;51.8368988037;-1.32000005245
RAF Benson;Benson;EGUB;51.616401672399995;-1.09582996368
RAF Lakenheath;Lakenheath;EGUL;52.409301757799994;0.56099998951
RAF Mildenhall;Mildenhall;EGUN;52.361900329589844;0.48640599846839905
RAF Wattisham;Wattisham;EGUW;52.1273002625;0.956264019012
RAF Wyton;Wyton;EGUY;52.3572006226;-0.107832998037
RAF Fairford;Fairford;EGVA;51.6822013855;-1.7900300025900002
RAF Brize Norton;Brize Norton;EGVN;51.75;-1.58362
RAF Odiham;Odiham;EGVO;51.2341003418;-0.94282501936
DCAE Cosford Air Base;Cosford;EGWC;52.639999;-2.30558
RAF Northolt;Northolt;EGWU;51.553001403799996;-0.418166995049
RAF Coningsby;Coningsby;EGXC;53.0929985046;-0.166014000773
RAF Dishforth;Dishforth;EGXD;54.1371994019;-1.42025005817
Leeming Airport;Leeming;EGXE;54.2924;-1.5354
Leeds East Airport;Church Fenton;EGXG;53.834301;-1.1955
RAF Honington;Honington;EGXH;52.34260177612305;0.7729390263557434
RAF Cottesmore;Cottesmore;EGXJ;52.735699;-0.648769
RAF Scampton;Scampton;EGXP;53.307800293;-0.550832986832
RAF Wittering;Wittering;EGXT;52.6125984192;-0.476453006268
RAF Linton-On-Ouse;Linton-on-ouse;EGXU;54.0489006042;-1.2527500391
RAF Waddington;Waddington;EGXW;53.1661987305;-0.523810982704
RAF Topcliffe;Topcliffe;EGXZ;54.205501556399994;-1.3820899725
RAF Cranwell;Cranwell;EGYD;53.0303001404;-0.48324200511
RAF Barkston Heath;Barkston Heath;EGYE;52.962200164799995;-0.561625003815
RAF Marham;Marham;EGYM;52.648395;0.550692
Mount Pleasant Airport;Mount Pleasant;EGYP;-51.82279968261719;-58.447200775146484
St. Mary's Airport;ST MARY\\'S;EGHE;49.913299560546875;-6.291669845581055
Nottingham Airport;Nottingham;EGBN;52.91999816894531;-1.0791699886322021
Robin Hood Doncaster Sheffield Airport;Sheffield;EGCN;53.4805378105;-1.01065635681
Campbeltown Airport;Campbeltown;EGEC;55.437198638916016;-5.686389923095703
Eday Airport;Eday;EGED;59.19060134887695;-2.7722198963165283
Fair Isle Airport;Fair Isle;EGEF;59.53580093383789;-1.628059983253479
North Ronaldsay Airport;North Ronaldsay;EGEN;59.3675003052;-2.43443989754
Papa Westray Airport;Papa Westray;EGEP;59.351699829100006;-2.9002799987800003
Stronsay Airport;Stronsay;EGER;59.1553001404;-2.64139008522
Sanday Airport;Sanday;EGES;59.250301361083984;-2.576669931411743
Lerwick / Tingwall Airport;Lerwick;EGET;60.192199707;-1.24361002445
Westray Airport;Westray;EGEW;59.3502998352;-2.95000004768
Land's End Airport;Land's End;EGHC;50.10279846191406;-5.670559883117676
Penzance Heliport;Penzance;EGHK;50.128101;-5.51845
Anglesey Airport;Angelsey;EGOV;53.2481002808;-4.53533983231
Barra Airport;Barra;EGPR;57.02280044555664;-7.443059921264648
Unst Airport;Unst;EGPW;60.74720001220703;-0.8538500070571899
Oban Airport;North Connel;EGEO;56.4635009765625;-5.399670124053955
Isle of Wight / Sandown Airport;Isle Of Wight;EGHN;50.653099;-1.18221998
Lympne Airport;Lympne;EGMK;51.08;1.013
Colonsay Airstrip;Colonsay;EGEY;56.0574989319;-6.243060112
Tresco Heliport;Tresco;EGHT;49.94559860229492;-6.331389904022217
London Heliport;London;EGLW;51.46972274779999;-0.179444000125
White Waltham Airfield;Maidenhead;EGLM;51.500801086399996;-0.774443984032
Wycombe Air Park;Wycombe;EGTB;51.6116981506;-0.8083329796790001
Bembridge Airport;Bembridge;EGHJ;50.6781005859;-1.10943996906
Compton Abbas Aerodrome;Shaftesbury;EGHA;50.967201232910156;-2.1536099910736084
Glasgow City Heliport;Glasgow;EGEG;55.86138916015625;-4.2969441413879395
Perth/Scone Airport;Perth;EGPT;56.43920135498047;-3.372220039367676
Caernarfon Airport;Caernarfon;EGCK;53.101819444;-4.337613889
Duxford Airport;Duxford;EGSU;52.090801239;0.131944000721
Fairoaks Airport;Fairoaks;EGTF;51.3480987549;-0.558888971806
Rochester Airport;Rochester;EGTO;51.351898193359375;0.5033329725265503
Beccles Airport;Beccles;EGSM;52.435298919699996;1.6183300018300002
RAF Brawdy;Brawdy;EGDA;51.88375;-5.119972
Redhill Aerodrome;Redhill;EGKR;51.2136001587;-0.138611003757
Elstree Airfield;Elstree;EGTR;51.6557998657;-0.325832992792
Sandtoft Airfield;Sandtoft;EGCF;53.559700012200004;-0.8583329916
Popham Airport;Popham;EGHP;51.19390106201172;-1.23471999168396
City Airport Manchester;Manchester;EGCB;53.471698761;-2.38971996307
Sleap Airport;Shrewsbury;EGCV;52.833900451699996;-2.77167010307
Tatenhill Airfield;Burton-on-Trent;EGBM;52.814701080300004;-1.76110994816
Full Sutton Airfield;York;EGNU;53.9805984497;-0.864722013474
Sherburn-In-Elmet Airfield;Leeds;EGCJ;53.788458;-1.216877
Shobdon Aerodrome;Shobdon;EGBS;52.2416992188;-2.8811099529299997
Newtownards Airport;Newtownards;EGAD;54.5811004639;-5.69193983078
Lashenden (Headcorn) Airfield;Headcorn;EGKH;51.156898;0.641667
Panshanger Aerodrome;Panshanger;EGLG;51.80250167849999;-0.158056005836
Thurrock Airfield;Thurrock;EGMT;51.537505;0.367634
Stapleford Aerodrome;Stapleford;EGSG;51.652500152600005;0.155833005905
Chichester/Goodwood Airport;Goodwood;EGHR;50.85940170288086;-0.7591670155525208
RAF Spadeadam;Spadeadam;EGOM;55.0499992371;-2.54999995232
RAF Kinloss;Kinloss;EGQK;57.6493988037;-3.56064009666
